iteration,configured_iterations,total_steps,steps_per_second,mean_reward,mean_dist_to_ball,goal_per_1k_steps,mean_episode_goals_total,iteration_time_seconds,elapsed_seconds
336,500,16564224,4296.0,87.81,1.2791,0.5961,961.7917,11.44,3853
337,500,16613376,4294.0,94.36,1.2055,0.4049,964.4584,11.45,3864
338,500,16662528,4293.0,100.3,1.1722,0.5615,968.8334,11.45,3876
339,500,16711680,4286.0,98.19,1.2185,0.4272,971.875,11.47,3887
340,500,16760832,4281.0,93.43,1.2335,0.4618,972.2084,11.48,3899
341,500,16809984,4279.0,95.47,1.2566,0.3845,973.0,11.48,3910
342,500,16859136,4285.0,89.4,1.267,0.5676,976.25,11.47,3921
343,500,16908288,4269.0,91.06,1.2549,0.6897,982.125,11.51,3933
344,500,16957440,4284.0,96.81,1.252,0.4028,984.9167,11.47,3944
345,500,17006592,4284.0,95.53,1.246,0.3052,986.8334,11.47,3956
346,500,17055744,4278.0,90.86,1.2185,0.5208,989.9584,11.49,3967
347,500,17104896,4288.0,92.46,1.1687,0.4476,992.0834,11.46,3979
348,500,17154048,4287.0,86.22,1.1345,0.3418,994.0,11.46,3990
349,500,17203200,4262.0,88.72,1.12,0.2523,995.875,11.53,4002
350,500,17252352,4273.0,100.03,1.148,0.2991,996.2084,11.5,4013
351,500,17301504,4270.0,92.42,1.1543,0.3337,998.9584,11.51,4025
